Date,Close,High,Low,Open,Volume
2025-07-07,5693.53662109375,5778.316146574499,5655.582996314578,5769.443870652095,33759
2025-07-08,5733.95458984375,5794.088902571416,5638.8240787253935,5714.238421736319,38482
2025-07-09,5793.59619140625,5796.553616720903,5669.384328190802,5726.561217607436,51600
2025-07-10,5836.9716796875,5876.404016655495,5752.68505941841,5796.553534295305,30868
2025-07-11,5888.23388671875,5973.999222085322,5722.618066700544,5832.535709153103,118374
2025-07-14,5907.9501953125,6013.431702220299,5890.205642748571,5895.13468512744,43599
2025-07-15,5893.65576171875,6006.530828159629,5841.900818590836,5934.566812000816,31455
2025-07-16,5843.87255859375,6043.0058677766,5816.269921677315,5914.850767807439,52252
2025-07-17,5850.28076171875,5904.500231243484,5835.49363366655,5881.826634896776,20531
2025-07-18,5819.2275390625,5909.92192049461,5766.9796888896535,5857.181166074851,28167
2025-07-21,5739.86962890625,5860.6311625328735,5709.309567335431,5857.180833000684,22754
2025-07-22,5702.90185546875,5808.383359104905,5686.636016122988,5742.827097499257,68187
2025-07-23,5777.33056640625,5791.624789290457,5628.47348671555,5722.125291818971,37918
2025-07-24,5729.5185546875,5777.330263204765,5690.086217766045,5777.330263204765,18291
2025-07-25,5467.78662109375,5737.405234790521,5421.946527723001,5728.532958654247,41796
2025-07-28,5299.92626953125,5480.128699748195,5265.860604640923,5436.682634380823,44082
2025-07-29,5247.59375,5317.206198842789,5208.591030435601,5311.281735111487,25034
2025-07-30,5154.28369140625,5284.128194360258,5096.026461943995,5244.631767606187,59999
2025-07-31,5237.22607421875,5282.646964002699,5065.416621557728,5095.038940982042,37743
2025-08-01,5150.333984375,5314.24415335626,5126.636128618673,5237.226122148198,41113
2025-08-04,5225.87060546875,5265.860734806773,5113.305796961723,5154.283336900685,60173
2025-08-05,5287.58349609375,5332.01697085084,5214.021410107011,5265.366758715205,25782
2025-08-06,5145.396484375,5295.976596420132,5122.686041246881,5239.200488599837,47095
2025-08-07,5117.7490234375,5171.562899913931,5051.098809452928,5135.028708544611,36396
2025-08-08,5138.48486328125,5178.474993366356,5061.466834969195,5148.358969475104,26522
2025-08-11,5160.20751953125,5186.867604304947,5114.786634361247,5137.990782219835,12004
2025-08-12,5054.55517578125,5181.931151103731,4991.3608934507165,5159.220705891195,29275
2025-08-13,5140.95361328125,5158.727005202706,5017.033575162207,5035.794377745967,23435
2025-08-14,5272.27880859375,5353.246476409966,5128.11686345756,5141.940611621304,39944
2025-08-18,5328.56103515625,5351.765183090313,5234.757032869611,5306.344297772573,22995
2025-08-19,5362.62744140625,5382.375655147389,5246.112980333532,5350.778513161567,23064
2025-08-20,5291.53369140625,5361.146142468788,5274.254004972287,5340.904224074717,18636
2025-08-21,5332.51123046875,5361.14613940007,5286.5966351133575,5296.470741641399,30385
2025-08-22,5246.1123046875,5351.765234595568,5233.275967408949,5332.017023397798,13272
