Date,Close,High,Low,Open,Volume
2025-07-07,14807.3095703125,14926.04743007444,14145.77006592455,14309.408797025038,137377
2025-07-08,15200.44140625,15266.29601651733,14668.61553848505,14807.309338896548,116537
2025-07-09,16682.169921875,17001.46499783648,15142.568977473236,15274.278196307345,605703
2025-07-10,16579.396484375,16912.660713177436,16444.693876924914,16653.23346919949,180576
2025-07-11,16384.826171875,16802.903156590644,16122.405534690715,16564.429649795802,123528
2025-07-14,16646.25,16762.992267577774,16353.895432476174,16384.82714439849,82706
2025-07-15,16732.060546875,17042.375463094104,16488.59804025937,16735.05393834978,96254
2025-07-16,16798.912109375,17221.978083144008,16636.271180779837,16810.88567467035,125227
2025-07-17,16804.8984375,17586.173551890362,16668.20023740871,16962.550376291416,225940
2025-07-18,16580.39453125,17161.11244767219,16513.54212506394,16910.66537375128,109888
2025-07-21,17170.09375,17247.921929480475,16253.118148172362,16580.395620859483,141242
2025-07-22,17468.43359375,17621.09654798795,17224.971104638502,17261.889596839836,136522
2025-07-23,17102.2421875,17574.200212860997,17018.427231621936,17561.228850641775,110365
2025-07-24,19106.81640625,20454.84026989007,17187.05481213934,17436.50408372337,1238416
2025-07-25,17830.634765625,19426.112381194915,16463.65269349818,19257.484665728178,986594
2025-07-28,18187.845703125,18352.482226112472,17362.667493969613,17461.4494077621,182928
2025-07-29,17832.630859375,18456.254084929464,17614.113281140715,18167.89070543308,128891
2025-07-30,17631.076171875,18201.816158876278,17538.28103412829,17918.441759735782,72710
2025-07-31,16906.673828125,17703.913699977686,16807.891916593817,17511.338862346183,78609
2025-08-01,16672.19140625,17161.11197534824,16472.631990291535,16972.52832726749,69846
2025-08-04,16975.5234375,17212.00136935726,16584.386942613735,16670.197500165315,63873
2025-08-05,17789.724609375,17859.570406820523,16862.771097562258,17088.273243600666,98993
2025-08-06,18123.986328125,18314.56557216111,17718.880709912122,17860.567896577708,126558
2025-08-07,18055.138671875,18159.90736823017,17704.911886916274,17960.347946601272,70754
2025-08-08,17764.779296875,18277.646998436096,17611.11854582362,18110.017088198227,56109
2025-08-11,18499.158203125,18608.915883941816,17791.72006040571,17791.72006040571,97721
2025-08-12,18877.32421875,18932.203061819466,18559.02692894709,18639.84849783121,79064
